"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Fayette County, AL"	"01057"	"2018"	"2018"	Suppressed	16433	Suppressed
	"Fayette County, AL"	"01057"	"2019"	"2019"	Suppressed	16302	Suppressed
	"Fayette County, AL"	"01057"	"2020 "	"2020"	Suppressed	16241	Suppressed
	"Franklin County, AL"	"01059"	"2018"	"2018"	Suppressed	31363	Suppressed
	"Franklin County, AL"	"01059"	"2019"	"2019"	Suppressed	31362	Suppressed
	"Franklin County, AL"	"01059"	"2020 "	"2020"	Suppressed	31507	Suppressed
	"Geneva County, AL"	"01061"	"2018"	"2018"	Suppressed	26314	Suppressed
	"Geneva County, AL"	"01061"	"2019"	"2019"	Suppressed	26271	Suppressed
	"Geneva County, AL"	"01061"	"2020 "	"2020"	Suppressed	26411	Suppressed
	"Greene County, AL"	"01063"	"2018"	"2018"	Suppressed	8233	Suppressed
	"Greene County, AL"	"01063"	"2019"	"2019"	Suppressed	8111	Suppressed
	"Greene County, AL"	"01063"	"2020 "	"2020"	Suppressed	7990	Suppressed
	"Hale County, AL"	"01065"	"2018"	"2018"	Suppressed	14726	Suppressed
	"Hale County, AL"	"01065"	"2019"	"2019"	Suppressed	14651	Suppressed
	"Hale County, AL"	"01065"	"2020 "	"2020"	Suppressed	14670	Suppressed
	"Henry County, AL"	"01067"	"2018"	"2018"	Suppressed	17209	Suppressed
	"Henry County, AL"	"01067"	"2019"	"2019"	Suppressed	17205	Suppressed
	"Henry County, AL"	"01067"	"2020 "	"2020"	Suppressed	17223	Suppressed
	"Houston County, AL"	"01069"	"2018"	"2018"	18	104722	Unreliable
	"Houston County, AL"	"01069"	"2019"	"2019"	10	105882	Unreliable
	"Houston County, AL"	"01069"	"2020 "	"2020"	16	106580	Unreliable
	"Jackson County, AL"	"01071"	"2018"	"2018"	Suppressed	51736	Suppressed
	"Jackson County, AL"	"01071"	"2019"	"2019"	Suppressed	51626	Suppressed
	"Jackson County, AL"	"01071"	"2020 "	"2020"	Suppressed	51582	Suppressed
	"Jefferson County, AL"	"01073"	"2018"	"2018"	186	659300	28.2
	"Jefferson County, AL"	"01073"	"2019"	"2019"	193	658573	29.3
	"Jefferson County, AL"	"01073"	"2020 "	"2020"	267	655342	40.7
	"Lamar County, AL"	"01075"	"2018"	"2018"	Suppressed	13844	Suppressed
	"Lamar County, AL"	"01075"	"2019"	"2019"	Suppressed	13805	Suppressed
	"Lamar County, AL"	"01075"	"2020 "	"2020"	Suppressed	13764	Suppressed
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	14	92387	Unreliable
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	11	92729	Unreliable
	"Lauderdale County, AL"	"01077"	"2020 "	"2020"	Suppressed	93368	Suppressed
	"Lawrence County, AL"	"01079"	"2018"	"2018"	Suppressed	32957	Suppressed
	"Lawrence County, AL"	"01079"	"2019"	"2019"	Suppressed	32924	Suppressed
	"Lawrence County, AL"	"01079"	"2020 "	"2020"	Suppressed	32857	Suppressed
	"Lee County, AL"	"01081"	"2018"	"2018"	11	163941	Unreliable
	"Lee County, AL"	"01081"	"2019"	"2019"	11	164542	Unreliable
	"Lee County, AL"	"01081"	"2020 "	"2020"	20	166831	12.0
	"Limestone County, AL"	"01083"	"2018"	"2018"	Suppressed	96174	Suppressed
	"Limestone County, AL"	"01083"	"2019"	"2019"	Suppressed	98915	Suppressed
	"Limestone County, AL"	"01083"	"2020 "	"2020"	Suppressed	102228	Suppressed
	"Lowndes County, AL"	"01085"	"2018"	"2018"	Suppressed	9974	Suppressed
	"Lowndes County, AL"	"01085"	"2019"	"2019"	Suppressed	9726	Suppressed
	"Lowndes County, AL"	"01085"	"2020 "	"2020"	Suppressed	9641	Suppressed
	"Macon County, AL"	"01087"	"2018"	"2018"	Suppressed	18439	Suppressed
	"Macon County, AL"	"01087"	"2019"	"2019"	Suppressed	18068	Suppressed
	"Macon County, AL"	"01087"	"2020 "	"2020"	Suppressed	17895	Suppressed
	"Madison County, AL"	"01089"	"2018"	"2018"	47	366519	12.8
	"Madison County, AL"	"01089"	"2019"	"2019"	79	372909	21.2
	"Madison County, AL"	"01089"	"2020 "	"2020"	99	379453	26.1
	"Marengo County, AL"	"01091"	"2018"	"2018"	Suppressed	19066	Suppressed
	"Marengo County, AL"	"01091"	"2019"	"2019"	Suppressed	18863	Suppressed
	"Marengo County, AL"	"01091"	"2020 "	"2020"	Suppressed	18733	Suppressed
	"Marion County, AL"	"01093"	"2018"	"2018"	Suppressed	29763	Suppressed
	"Marion County, AL"	"01093"	"2019"	"2019"	Suppressed	29709	Suppressed
	"Marion County, AL"	"01093"	"2020 "	"2020"	Suppressed	29703	Suppressed
	"Marshall County, AL"	"01095"	"2018"	"2018"	17	96109	Unreliable
	"Marshall County, AL"	"01095"	"2019"	"2019"	20	96774	20.7
	"Marshall County, AL"	"01095"	"2020 "	"2020"	17	96990	Unreliable
	"Mobile County, AL"	"01097"	"2018"	"2018"	59	413757	14.3
	"Mobile County, AL"	"01097"	"2019"	"2019"	50	413210	12.1
	"Mobile County, AL"	"01097"	"2020 "	"2020"	95	412716	23.0
	"Monroe County, AL"	"01099"	"2018"	"2018"	Suppressed	21067	Suppressed
	"Monroe County, AL"	"01099"	"2019"	"2019"	Suppressed	20733	Suppressed
	"Monroe County, AL"	"01099"	"2020 "	"2020"	Suppressed	20459	Suppressed
	"Montgomery County, AL"	"01101"	"2018"	"2018"	18	225763	Unreliable
	"Montgomery County, AL"	"01101"	"2019"	"2019"	11	226486	Unreliable
	"Montgomery County, AL"	"01101"	"2020 "	"2020"	30	224639	13.4
	"Morgan County, AL"	"01103"	"2018"	"2018"	22	119089	18.5
	"Morgan County, AL"	"01103"	"2019"	"2019"	15	119679	Unreliable
	"Morgan County, AL"	"01103"	"2020 "	"2020"	26	119883	21.7
	"Perry County, AL"	"01105"	"2018"	"2018"	Suppressed	9140	Suppressed
	"Perry County, AL"	"01105"	"2019"	"2019"	Suppressed	8923	Suppressed
	"Perry County, AL"	"01105"	"2020 "	"2020"	Suppressed	8687	Suppressed
	"Pickens County, AL"	"01107"	"2018"	"2018"	Suppressed	19938	Suppressed
	"Pickens County, AL"	"01107"	"2019"	"2019"	Suppressed	19930	Suppressed
	"Pickens County, AL"	"01107"	"2020 "	"2020"	Suppressed	19793	Suppressed
	"Pike County, AL"	"01109"	"2018"	"2018"	Suppressed	33338	Suppressed
	"Pike County, AL"	"01109"	"2019"	"2019"	Suppressed	33114	Suppressed
	"Pike County, AL"	"01109"	"2020 "	"2020"	Suppressed	32966	Suppressed
	"Randolph County, AL"	"01111"	"2018"	"2018"	Suppressed	22725	Suppressed
	"Randolph County, AL"	"01111"	"2019"	"2019"	Suppressed	22722	Suppressed
	"Randolph County, AL"	"01111"	"2020 "	"2020"	Suppressed	22920	Suppressed
	"Russell County, AL"	"01113"	"2018"	"2018"	10	57781	Unreliable
	"Russell County, AL"	"01113"	"2019"	"2019"	19	57961	Unreliable
	"Russell County, AL"	"01113"	"2020 "	"2020"	14	58237	Unreliable
	"St. Clair County, AL"	"01115"	"2018"	"2018"	27	88690	30.4
	"St. Clair County, AL"	"01115"	"2019"	"2019"	21	89512	23.5
	"St. Clair County, AL"	"01115"	"2020 "	"2020"	28	90739	30.9
	"Shelby County, AL"	"01117"	"2018"	"2018"	37	215707	17.2
	"Shelby County, AL"	"01117"	"2019"	"2019"	34	217702	15.6
	"Shelby County, AL"	"01117"	"2020 "	"2020"	45	221428	20.3
	"Sumter County, AL"	"01119"	"2018"	"2018"	Suppressed	12691	Suppressed
	"Sumter County, AL"	"01119"	"2019"	"2019"	Suppressed	12427	Suppressed
	"Sumter County, AL"	"01119"	"2020 "	"2020"	Suppressed	12225	Suppressed
	"Talladega County, AL"	"01121"	"2018"	"2018"	16	79828	Unreliable
	"Talladega County, AL"	"01121"	"2019"	"2019"	Suppressed	79978	Suppressed
	"Talladega County, AL"	"01121"	"2020 "	"2020"	Suppressed	79985	Suppressed
	"Tallapoosa County, AL"	"01123"	"2018"	"2018"	Suppressed	40497	Suppressed
	"Tallapoosa County, AL"	"01123"	"2019"	"2019"	Suppressed	40367	Suppressed
	"Tallapoosa County, AL"	"01123"	"2020 "	"2020"	Suppressed	40133	Suppressed
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	27	208911	12.9
	"Tuscaloosa County, AL"	"01125"	"2019"	"2019"	26	209355	12.4
	"Tuscaloosa County, AL"	"01125"	"2020 "	"2020"	43	210758	20.4
	"Walker County, AL"	"01127"	"2018"	"2018"	10	63711	Unreliable
	"Walker County, AL"	"01127"	"2019"	"2019"	16	63521	Unreliable
	"Walker County, AL"	"01127"	"2020 "	"2020"	26	63143	41.2
	"Washington County, AL"	"01129"	"2018"	"2018"	Suppressed	16378	Suppressed
	"Washington County, AL"	"01129"	"2019"	"2019"	Suppressed	16326	Suppressed
	"Washington County, AL"	"01129"	"2020 "	"2020"	Suppressed	15976	Suppressed
	"Wilcox County, AL"	"01131"	"2018"	"2018"	Suppressed	10627	Suppressed
	"Wilcox County, AL"	"01131"	"2019"	"2019"	Suppressed	10373	Suppressed
	"Wilcox County, AL"	"01131"	"2020 "	"2020"	Suppressed	10206	Suppressed
	"Winston County, AL"	"01133"	"2018"	"2018"	Suppressed	23660	Suppressed
	"Winston County, AL"	"01133"	"2019"	"2019"	Suppressed	23629	Suppressed
	"Winston County, AL"	"01133"	"2020 "	"2020"	Suppressed	23508	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2018"	"2018"	Suppressed	3515	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2019"	"2019"	Suppressed	3337	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2020 "	"2020"	Suppressed	3401	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"2018"	"2018"	Suppressed	5723	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"2019"	"2019"	Suppressed	5634	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"2020 "	"2020"	Suppressed	5680	Suppressed
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	48	291538	16.5
	"Anchorage Borough, AK"	"02020"	"2019"	"2019"	52	288000	18.1
	"Anchorage Borough, AK"	"02020"	"2020 "	"2020"	89	287095	31.0
	"Bethel Census Area, AK"	"02050"	"2018"	"2018"	Suppressed	18216	Suppressed
	"Bethel Census Area, AK"	"02050"	"2019"	"2019"	Suppressed	18386	Suppressed
	"Bethel Census Area, AK"	"02050"	"2020 "	"2020"	Suppressed	18437	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2018"	"2018"	Suppressed	877	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2019"	"2019"	Suppressed	836	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2020 "	"2020"	Suppressed	788	Suppressed
	"Denali Borough, AK"	"02068"	"2018"	"2018"	Suppressed	2059	Suppressed
	"Denali Borough, AK"	"02068"	"2019"	"2019"	Suppressed	2097	Suppressed
	"Denali Borough, AK"	"02068"	"2020 "	"2020"	Suppressed	2081	Suppressed
	"Dillingham Census Area, AK"	"02070"	"2018"	"2018"	Suppressed	5000	Suppressed
	"Dillingham Census Area, AK"	"02070"	"2019"	"2019"	Suppressed	4916	Suppressed
	"Dillingham Census Area, AK"	"02070"	"2020 "	"2020"	Suppressed	4833	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	"2018"	"2018"	11	98971	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2019"	"2019"	19	96849	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2020 "	"2020"	11	95651	Unreliable
	"Haines Borough, AK"	"02100"	"2018"	"2018"	Suppressed	2474	Suppressed
	"Haines Borough, AK"	"02100"	"2019"	"2019"	Suppressed	2530	Suppressed
	"Haines Borough, AK"	"02100"	"2020 "	"2020"	Suppressed	2614	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	"2018"	"2018"	Suppressed	2151	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	"2019"	"2019"	Suppressed	2148	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	"2020 "	"2020"	Suppressed	2141	Suppressed
	"Juneau Borough, AK"	"02110"	"2018"	"2018"	Suppressed	32113	Suppressed
	"Juneau Borough, AK"	"02110"	"2019"	"2019"	Suppressed	31974	Suppressed
	"Juneau Borough, AK"	"02110"	"2020 "	"2020"	Suppressed	31849	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	"2018"	"2018"	16	58533	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2019"	"2019"	11	58708	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2020 "	"2020"	14	59414	Unreliable
	"Ketchikan Gateway Borough, AK"	"02130"	"2018"	"2018"	Suppressed	13918	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	"2019"	"2019"	Suppressed	13901	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	"2020 "	"2020"	Suppressed	13747	Suppressed
	"Kodiak Island Borough, AK"	"02150"	"2018"	"2018"	Suppressed	13345	Suppressed
	"Kodiak Island Borough, AK"	"02150"	"2019"	"2019"	Suppressed	12998	Suppressed
	"Kodiak Island Borough, AK"	"02150"	"2020 "	"2020"	Suppressed	12992	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	"2018"	"2018"	Suppressed	1587	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	"2019"	"2019"	Suppressed	1592	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	"2020 "	"2020"	Suppressed	1493	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	"2018"	"2018"	15	107610	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2019"	"2019"	19	108317	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2020 "	"2020"	23	110213	20.9
	"Nome Census Area, AK"	"02180"	"2018"	"2018"	Suppressed	10008	Suppressed
	"Nome Census Area, AK"	"02180"	"2019"	"2019"	Suppressed	10004	Suppressed
	"Nome Census Area, AK"	"02180"	"2020 "	"2020"	Suppressed	9909	Suppressed
	"North Slope Borough, AK"	"02185"	"2018"	"2018"	Suppressed	9872	Suppressed
	"North Slope Borough, AK"	"02185"	"2019"	"2019"	Suppressed	9832	Suppressed
	"North Slope Borough, AK"	"02185"	"2020 "	"2020"	Suppressed	9294	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	"2018"	"2018"	Suppressed	7671	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	"2019"	"2019"	Suppressed	7621	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	"2020 "	"2020"	Suppressed	7644	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	"2018"	"2018"	Suppressed	3221	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	"2019"	"2019"	Suppressed	3266	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	"2020 "	"2020"	Suppressed	3296	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2018"	"2018"	Suppressed	6422	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2019"	"2019"	Suppressed	6203	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2020 "	"2020"	Suppressed	6147	Suppressed
	"Sitka Borough, AK"	"02220"	"2018"	"2018"	Suppressed	8647	Suppressed
	"Sitka Borough, AK"	"02220"	"2019"	"2019"	Suppressed	8493	Suppressed
	"Sitka Borough, AK"	"02220"	"2020 "	"2020"	Suppressed	8405	Suppressed
	"Skagway Municipality, AK"	"02230"	"2018"	"2018"	Suppressed	1148	Suppressed
	"Skagway Municipality, AK"	"02230"	"2019"	"2019"	Suppressed	1183	Suppressed
	"Skagway Municipality, AK"	"02230"	"2020 "	"2020"	Suppressed	1179	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	"2018"	"2018"	Suppressed	6918	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	"2019"	"2019"	Suppressed	6893	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	"2020 "	"2020"	Suppressed	6957	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	"2018"	"2018"	Suppressed	9164	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	"2019"	"2019"	Suppressed	9202	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	"2020 "	"2020"	Suppressed	Suppressed	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	"2018"	"2018"	Suppressed	8303	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	"2019"	"2019"	Suppressed	8314	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	"2020 "	"2020"	Suppressed	8328	Suppressed
	"Wrangell City and Borough, AK"	"02275"	"2018"	"2018"	Suppressed	2503	Suppressed
	"Wrangell City and Borough, AK"	"02275"	"2019"	"2019"	Suppressed	2502	Suppressed
	"Wrangell City and Borough, AK"	"02275"	"2020 "	"2020"	Suppressed	2510	Suppressed
	"Yakutat Borough, AK"	"02282"	"2018"	"2018"	Suppressed	604	Suppressed
	"Yakutat Borough, AK"	"02282"	"2019"	"2019"	Suppressed	579	Suppressed
	"Yakutat Borough, AK"	"02282"	"2020 "	"2020"	Suppressed	637	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2018"	"2018"	Suppressed	5327	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2019"	"2019"	Suppressed	5230	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2020 "	"2020"	Suppressed	5077	Suppressed
	"Apache County, AZ"	"04001"	"2018"	"2018"	12	71818	Unreliable
	"Apache County, AZ"	"04001"	"2019"	"2019"	Suppressed	71887	Suppressed
	"Apache County, AZ"	"04001"	"2020 "	"2020"	20	71875	27.8
	"Cochise County, AZ"	"04003"	"2018"	"2018"	24	126770	18.9
	"Cochise County, AZ"	"04003"	"2019"	"2019"	27	125922	21.4
	"Cochise County, AZ"	"04003"	"2020 "	"2020"	45	127450	35.3
	"Coconino County, AZ"	"04005"	"2018"	"2018"	35	142854	24.5
	"Coconino County, AZ"	"04005"	"2019"	"2019"	24	143476	16.7
	"Coconino County, AZ"	"04005"	"2020 "	"2020"	42	142481	29.5
	"Gila County, AZ"	"04007"	"2018"	"2018"	17	53889	Unreliable
	"Gila County, AZ"	"04007"	"2019"	"2019"	17	54018	Unreliable
	"Gila County, AZ"	"04007"	"2020 "	"2020"	16	54303	Unreliable
	"Graham County, AZ"	"04009"	"2018"	"2018"	10	38072	Unreliable
	"Graham County, AZ"	"04009"	"2019"	"2019"	10	38837	Unreliable
	"Graham County, AZ"	"04009"	"2020 "	"2020"	10	39211	Unreliable
	"Greenlee County, AZ"	"04011"	"2018"	"2018"	Suppressed	9483	Suppressed
	"Greenlee County, AZ"	"04011"	"2019"	"2019"	Suppressed	9498	Suppressed
	"Greenlee County, AZ"	"04011"	"2020 "	"2020"	Suppressed	9341	Suppressed
	"La Paz County, AZ"	"04012"	"2018"	"2018"	Suppressed	21098	Suppressed
	"La Paz County, AZ"	"04012"	"2019"	"2019"	Suppressed	21108	Suppressed
	"La Paz County, AZ"	"04012"	"2020 "	"2020"	10	21480	Unreliable
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	1079	4410824	24.5
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	1223	4485414	27.3
	"Maricopa County, AZ"	"04013"	"2020 "	"2020"	1616	4579081	35.3
	"Mohave County, AZ"	"04015"	"2018"	"2018"	41	209550	19.6
	"Mohave County, AZ"	"04015"	"2019"	"2019"	49	212181	23.1
	"Mohave County, AZ"	"04015"	"2020 "	"2020"	56	217206	25.8
	"Navajo County, AZ"	"04017"	"2018"	"2018"	14	110445	Unreliable
	"Navajo County, AZ"	"04017"	"2019"	"2019"	25	110924	22.5
	"Navajo County, AZ"	"04017"	"2020 "	"2020"	40	112112	35.7
	"Pima County, AZ"	"04019"	"2018"	"2018"	262	1039073	25.2
	"Pima County, AZ"	"04019"	"2019"	"2019"	302	1047279	28.8
	"Pima County, AZ"	"04019"	"2020 "	"2020"	413	1061175	38.9
	"Pinal County, AZ"	"04021"	"2018"	"2018"	72	447138	16.1
	"Pinal County, AZ"	"04021"	"2019"	"2019"	83	462789	17.9
	"Pinal County, AZ"	"04021"	"2020 "	"2020"	115	480828	23.9
	"Santa Cruz County, AZ"	"04023"	"2018"	"2018"	Suppressed	46511	Suppressed
	"Santa Cruz County, AZ"	"04023"	"2019"	"2019"	Suppressed	46498	Suppressed
	"Santa Cruz County, AZ"	"04023"	"2020 "	"2020"	18	46808	Unreliable
	"Yavapai County, AZ"	"04025"	"2018"	"2018"	56	231993	24.1
	"Yavapai County, AZ"	"04025"	"2019"	"2019"	87	235099	37.0
